"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","URL do site","Tipo de mídia","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - RMKT] [ADV. ABO]","AD - EVELYN","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",https://lm1.denavita.com.br/,Imagem,not_delivering,ad,3.99737274,1010276,0,,32067.98856671,9296,7718,3.44965454,1.15522887,31.74180973,"Compras no site",49.64084917,2334,0.06949225,646,3.4188206,"Valor de conversão da compra no site",109634.7,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD1 - 07/12","Influ Larissa L 2",http://www.denavita.com.br/pages/laranja-moro,Vídeo,archived,ad,1.59375129,966395,0.26661355,,13325.44194574,11691,9716,1.13980343,1.81219895,13.78881508,"Compras no site",50.86046544,1648,0.0224104,262,3.56705543,"Valor de conversão da compra no site",47532.59,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD2,"[TOFU] [TIK + ORG ] [ABERTO]",http://www.denavita.com.br/pages/laranja-moro,Imagem,inactive,ad,2.13093766,963382,0,,13981.82,6567,5197,2.12910309,0.88479959,14.5132668,"Compras no site",59.245,1074,0.03593726,236,3.00992932,"Valor de conversão da compra no site",42084.29,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD7 - BOFU","[PUBLICO ABERTO]",https://denavita.com.br/pages/tons-clareador-de-pele,Imagem,not_delivering,ad,3.67318605,941860,0,,15590.44883956,8372,6742,1.86221319,1.0637462,16.5528304,"Compras no site",67.49112052,1317,0.02759197,231,3.31533111,"Valor de conversão da compra no site",51687.5,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - MES CONSUMIDOR","[AQUISIÇÃO]  [ADV. +]",https://lm1.denavita.com.br/,Imagem,inactive,ad,3.43964841,912181,0.00390273,,24513.87686047,8050,6830,3.04520209,1.10800378,26.87391741,"Compras no site",48.06642522,1718,0.06335404,510,3.99744849,"Valor de conversão da compra no site",97992.96,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Criativo Versão 2 - Sabrina 29/12","Influ Sabrina - LM TESTE TRAVA DE CPA",http://denavita.com.br/pages/laranja-moro,Vídeo,archived,ad,3.45999503,891703,0.1542453,,12295.38412276,6353,3346,1.93536662,1.14219645,13.78865398,"Compras no site",57.45506599,658,0.03368487,214,3.51976641,"Valor de conversão da compra no site",43276.88,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU","[AQUISIÇÃO]  [ADV. +]",https://lm1.denavita.com.br/?utm_campaign=lplaranjamoroum&utm_content=Laranja+Moro&utm_source=performance,Imagem,inactive,ad,3.04167324,886666,0,,22658.08781154,9102,7954,2.48935265,1.21804603,25.55425359,"Compras no site",43.99628701,1786,0.05658097,515,4.61264785,"Valor de conversão da compra no site",104513.78,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - RMKT","[PUBLICO ENG.] [DR]",https://www.denavita.com.br/pages/tons-clareador-de-pele,Imagem,inactive,ad,3.97704552,883962,0,,19824.61979078,9823,7929,2.01818383,1.28093742,22.42700454,"Compras no site",56.31994259,1469,0.03583427,352,4.05239499,"Valor de conversão da compra no site",80337.19,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - JESSICA","[AQUISIÇÃO]  [ADV. +]",https://lm1.denavita.com.br/,Vídeo,inactive,ad,2.79946677,880953,0.19296262,,36559.5039267,15340,12966,2.38327927,2.12531202,41.49994827,"Compras no site",58.12321769,3249,0.04100391,629,3.19814569,"Valor de conversão da compra no site",116922.62,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Teste - ADS 2","Evelyn Regly BM - LM",http://lm1.denavita.com.br/,Vídeo,not_delivering,ad,2.6366898,875998,0.09213606,,8299.12888916,5971,5093,1.38990603,1.00685161,9.47391306,"Compras no site",50.60444445,675,0.02746609,164,3.42802966,"Valor de conversão da compra no site",28449.66,2026-01-01,2026-05-25
