"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","Segmentos de público","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT DANI","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,active,ad,2.91536096,1017219,0.15325805,,30449.31323484,11381,8870,2.67545147,,29.93388173,"Compras no site",57.12816742,2047,0.04683244,533,3.33798596,"Valor de conversão da compra no site",101639.38,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD5,"[BOFU] [ADV+ ABERTO] [ESTATICO]",prospecting,not_delivering,ad,2.26037393,998970,0.09968868,,9676.80780037,3676,2965,2.63242867,,9.68678519,"Compras no site",73.86876183,504,0.03563656,131,2.21459705,"Valor de conversão da compra no site",21430.23,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - BOFU","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,active,ad,3.61426593,976206,0.09029549,,21238.56854076,5680,4842,3.7391846,,21.75623643,"Compras no site",55.59834697,1116,0.06725352,382,3.14881108,"Valor de conversão da compra no site",66876.24,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD7 - BOFU","[PUBLICO ABERTO]",prospecting,not_delivering,ad,2.45212071,972310,0,,14312.69205372,7534,6228,1.89974676,,14.72029708,"Compras no site",88.89870841,1007,0.02136979,161,2.59731711,"Valor de conversão da compra no site",37174.6,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - ORGANICO LM 2","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,1.98602719,961118,0,,12552.90986132,5841,4639,2.14910287,,13.06073746,"Compras no site",77.01171694,806,0.02790618,163,2.26422481,"Valor de conversão da compra no site",28422.61,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",ADS,"Lm Perfil Novo",prospecting,inactive,ad,2.70094493,955832,0.0842533,,7011.31361763,8956,6401,0.78286217,,7.33529911,"Compras no site",57.94474064,467,0.0135105,121,2.90289539,"Valor de conversão da compra no site",20353.11,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - ORGANICO LM 2","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,2.35785631,936458,0,,20294.2251638,5830,4633,3.48099917,,21.67126039,"Compras no site",64.42611163,1256,0.05403087,315,2.39543908,"Valor de conversão da compra no site",48613.58,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","laranja-moro_mi-ruback_02-07-2025_junto-com-cafe — Cópia","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",engaged,inactive,ad,4.97527307,892763,0.10494835,,18345.20307681,7829,5749,2.34323708,,20.54879411,"Compras no site",63.25932095,1087,0.03704177,290,2.76034175,"Valor de conversão da compra no site",50639.03,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Teste - ADS 2","Evelyn Regly BM - LM",prospecting,not_delivering,ad,2.36178875,852157,0.09522658,,7764.14315911,5884,4977,1.31953487,,9.11116515,"Compras no site",58.37701623,546,0.02260367,133,2.83988968,"Valor de conversão da compra no site",22049.31,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - DANI TOFU","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,2.09656288,850368,0.11143646,,16509.16324075,6788,5700,2.43211008,,19.41413981,"Compras no site",70.55197966,873,0.0344726,234,2.57529466,"Valor de conversão da compra no site",42515.96,2026-01-01,2026-05-25
