"Nome do conjunto de anúncios","Nome da campanha","Nome do anúncio","Segmentos de público","Veiculação do anúncio",Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Custo por resultado","Valor usado (BRL)",Início,Término,"CPM (custo por 1.000 impressões)","Cliques no link","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Início dos relatórios","Encerramento dos relatórios"
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT",prospecting,inactive,167367,374377,2.2368627,"Compras no site",200,60.01793292,12003.58658346,2025-10-13,Contínuo,32.06283127,2787,4.30699196,0.74443676,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - BOFU",prospecting,active,138723,453662,3.27027241,"Compras no site",220,54.22715425,11929.97393404,2025-06-20,Contínuo,26.29705361,4538,2.62890567,1.00030419,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","ADS - SABRINA 2",prospecting,inactive,216858,451061,2.07998321,"Compras no site",148,79.57946839,11777.76132138,2025-12-10,Contínuo,26.11123844,5281,2.23021422,1.17079508,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]",tons_dr-ursinho_video-reels_10-07-2025_nao-tem-clareador-oral-barra,prospecting,inactive,163749,488249,2.98169149,"Compras no site",167,69.74985555,11648.22587758,2025-06-20,Contínuo,23.85714231,5703,2.04247341,1.16805155,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - CAMPEÃO TOFU",existing,active,87126,182023,2.08919266,"Compras no site",159,73.23108412,11643.7423748,2025-06-20,Contínuo,63.96852252,6029,1.93128916,3.31221879,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT",existing,inactive,54562,309220,5.66731425,"Compras no site",202,57.51095599,11617.21310939,2025-10-13,Contínuo,37.56941048,2466,4.71095422,0.79749046,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - LUCIANA MOFU 2 — Cópia",prospecting,inactive,242448,400529,1.65202023,"Compras no site",185,62.19604768,11506.2688209,2025-10-13,Contínuo,28.7276797,7691,1.49606928,1.92021052,2026-01-01,2026-05-25
"[VINAGRE] [RMKT]","[C] [VARIOS PRODUTO] [ABO] [BID]","AD - RAIZA TOFU",prospecting,active,194852,430176,2.20770636,"Compras no site",137,83.06848033,11380.38180473,2026-01-20,Contínuo,26.45517603,4792,2.37487099,1.11396266,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - DR URSINHO 18-05",prospecting,active,223902,347238,1.55084814,"Compras no site",124,89.91903429,11149.96025136,2025-06-20,Contínuo,32.11042643,10317,1.08073667,2.97116099,2026-01-01,2026-05-25
"[EXCLUSÃO BASE] [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - JADE MOFU",prospecting,inactive,539456,768190,1.42400863,"Compras no site",157,70.88000623,11128.16097887,2026-03-17,Contínuo,14.48620911,12355,0.90070101,1.60832607,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - BOFU",engaged,active,68650,447870,6.52396213,"Compras no site",236,46.73912451,11030.4333851,2025-10-13,Contínuo,24.6286498,3749,2.9422335,0.83707326,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - RMKT",prospecting,inactive,164437,516184,3.13909886,"Compras no site",172,62.89996813,10818.79451788,2025-06-20,Contínuo,20.95918223,5958,1.81584332,1.15423957,2026-01-01,2026-05-25
"[TOFU] [TIK + ORG ] [ABERTO]","[C] [LM - TESTE] [ABO]",AD3,existing,inactive,78351,453488,5.78790315,"Compras no site",254,42.52146169,10800.45126841,2026-02-11,Contínuo,23.81639926,3225,3.34897714,0.71115443,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [TONS] [PB DR]","AD5 - TOFU",prospecting,not_delivering,197679,484299,2.4499264,"Compras no site",183,58.61990294,10727.44223771,2025-12-10,Contínuo,22.150453,4505,2.38123024,0.93021047,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - CAMPEÃO TOFU",engaged,active,111384,226514,2.0336314,"Compras no site",138,77.61432228,10710.7764742,2025-06-20,Contínuo,47.28527364,9943,1.07721779,4.38957415,2026-01-01,2026-05-25
"[ADV ABER.]","[C] [LM - PRINCIPAL] - [PLANO B] 2 TESTE","[ADS] - [RMKT] [25-02]",existing,not_delivering,74344,590638,7.94466265,"Compras no site",199,53.52616185,10651.70620718,2026-02-25,Contínuo,18.0342379,3666,2.90553906,0.62068475,2026-01-01,2026-05-25
