"Nome da campanha","Segmentos de público","Nome do anúncio","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - RMKT] [ADV. ABO]",existing,"AD - RMKT",active,ad,6.62561852,425802,0.00041099,,14027.4680028,4083,3157,3.43557874,,32.94364048,"Compras no site",56.79136843,828,0.06049473,247,3.9879649,"Valor de conversão da compra no site",55941.05,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"AD - BOFU",inactive,ad,4.68589615,420353,0.04187671,,12267.11575793,6330,4916,1.93793298,,29.18289095,"Compras no site",49.06846303,938,0.03949447,250,4.03794999,"Valor de conversão da compra no site",49534,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - PRI TOFU",not_delivering,ad,2.18203402,408060,0.16752683,,4817.13470519,5148,4037,0.93572935,,11.80496668,"Compras no site",89.20619824,224,0.01048951,54,1.93399616,"Valor de conversão da compra no site",9316.32,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"Criativo 1 - Brenda 29/12",not_delivering,ad,6.52630649,406367,0.11242793,,5436.95602378,3707,1771,1.46667279,,13.37942309,"Compras no site",40.57429868,433,0.03614783,134,4.77991911,"Valor de conversão da compra no site",25988.21,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,29/12,archived,ad,2.11774387,405315,0.20198118,,5388.59652822,3084,2496,1.74727514,,13.29483618,"Compras no site",54.98567886,563,0.03177691,98,3.13860574,"Valor de conversão da compra no site",16912.68,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",existing,"AD - BOFU",active,ad,7.76979331,403734,0,,13256.8025186,4651,3737,2.8503123,,32.83548703,"Compras no site",36.72244465,1223,0.07761772,361,7.05953867,"Valor de conversão da compra no site",93586.91,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"tons_sabrina_video-reels_23-09-2025 — Cópia",inactive,ad,2.19651098,400771,0.20638719,,10197.63929323,4806,4013,2.12185587,,25.44505289,"Compras no site",81.58111435,771,0.02600916,125,2.73525658,"Valor de conversão da compra no site",27893.16,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",prospecting,"AD - LUCIANA MOFU 2 — Cópia",inactive,ad,1.65202023,400529,0.43788839,,11506.2688209,7691,6796,1.49606928,,28.7276797,"Compras no site",62.19604768,742,0.02405409,185,2.72908538,"Valor de conversão da compra no site",31401.59,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD - EVELYN",inactive,ad,1.64646075,396746,0.07217212,,3219.38652732,1774,1429,1.81476129,,8.11447759,"Compras no site",68.49758569,217,0.0264938,47,2.33694834,"Valor de conversão da compra no site",7523.54,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"ADS - DR 2 — Cópia",inactive,ad,2.0098885,393502,0.17759757,,8656.29118341,4889,3851,1.77056477,,21.99808688,"Compras no site",106.86779239,605,0.01656781,81,2.04388919,"Valor de conversão da compra no site",17692.5,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"ADS - DANI",inactive,ad,1.4347802,388362,0.15666826,,5192.14788294,1514,1216,3.42942396,,13.36935097,"Compras no site",519.21478829,28,0.00660502,10,0.33651199,"Valor de conversão da compra no site",1747.22,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 3",not_delivering,ad,1.7247828,385332,0.35135935,,5466.84179881,2916,2581,1.87477428,,14.1873548,"Compras no site",74.88824382,362,0.02503429,73,2.3076468,"Valor de conversão da compra no site",12615.54,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - ANA MOFU",inactive,ad,3.03332755,384450,0.11699051,,8503.53890528,3090,2567,2.75195434,,22.1187122,"Compras no site",51.85084698,793,0.05307443,164,3.57610759,"Valor de conversão da compra no site",30409.57,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,AD1,inactive,ad,5.03766061,381497,0,,6475.05161734,2185,1577,2.96341035,,16.97274583,"Compras no site",46.58310516,455,0.06361556,139,4.08760602,"Valor de conversão da compra no site",26467.46,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - ALESSANDRA",not_delivering,ad,2.85842013,375968,0.16557792,,3041.93381109,2127,1289,1.43015224,,8.09093809,"Compras no site",66.12899589,142,0.0216267,46,2.90712111,"Valor de conversão da compra no site",8843.27,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",prospecting,"AD - RMKT",inactive,ad,2.2368627,374377,0,,12003.58658346,2787,2293,4.30699196,,32.06283127,"Compras no site",60.01793292,591,0.07176175,200,2.63687105,"Valor de conversão da compra no site",31651.91,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD- NIVER 2",inactive,ad,2.42903994,368104,0,,9616.53025165,4464,3752,2.15424065,,26.12449268,"Compras no site",101.22663423,567,0.02128136,95,2.1977979,"Valor de conversão da compra no site",21135.19,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",engaged,"AD - MOFU",active,ad,3.25830035,366347,0.33269277,,13404.51027696,9086,1472,1.47529279,,36.58965483,"Compras no site",59.57560123,1504,0.02476337,225,3.70723503,"Valor de conversão da compra no site",49693.67,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"ADS - ESPINHA",inactive,ad,1.55338796,365885,0.43744346,,8541.8293528,7872,6158,1.08509011,,23.34566695,"Compras no site",92.84597123,494,0.01168699,92,2.35868444,"Valor de conversão da compra no site",20147.48,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS - ART 2",not_delivering,ad,3.08948176,364426,0,,4266.15123213,1582,1304,2.69668219,,11.70649523,"Compras no site",56.88201643,326,0.04740834,75,2.70842954,"Valor de conversão da compra no site",11554.57,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",engaged,"Criativo 1 - Brenda 29/12",not_delivering,ad,4.74487112,360800,0.14194013,,5070.45494363,4001,2330,1.26729691,,14.05336736,"Compras no site",50.70454944,406,0.02499375,100,3.34818082,"Valor de conversão da compra no site",16976.8,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 6 — Cópia",inactive,ad,1.44871815,360189,0.16003543,,2889.93446071,1844,1676,1.56720958,,8.02338345,"Compras no site",78.10633678,168,0.02006508,37,1.89164844,"Valor de conversão da compra no site",5466.74,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - DR URSINHO 18-05",active,ad,1.55115538,348996,0.33662277,,11194.7786083,10378,8757,1.07870289,,32.07709718,"Compras no site",88.84744927,992,0.01214107,126,2.49810568,"Valor de conversão da compra no site",27965.74,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD1,not_delivering,ad,2.4496581,347849,0,,3361.83316897,1633,1295,2.05868535,,9.6646337,"Compras no site",68.60884018,218,0.03000612,49,3.05746879,"Valor de conversão da compra no site",10278.7,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD1,not_delivering,ad,2.61346473,345027,0,,6538.61890489,3182,2566,2.05487709,,18.95103544,"Compras no site",64.73880104,464,0.03174104,101,3.43824443,"Valor de conversão da compra no site",22481.37,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",engaged,"AD - EVELYN",inactive,ad,5.01171721,342606,0.0018476,,7792.69213827,3154,2731,2.47073308,,22.74534637,"Compras no site",52.65332526,563,0.04692454,148,3.43627074,"Valor de conversão da compra no site",26777.8,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",existing,"laranja-moro_mi-ruback_02-07-2025_junto-com-cafe — Cópia",inactive,ad,6.76477439,336879,0.13344554,,8521.7126576,6118,4019,1.3928919,,25.29606374,"Compras no site",54.97879134,449,0.02533508,155,3.54091263,"Valor de conversão da compra no site",30174.64,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"AD - RMK ANA ELISA NIVER 3",not_delivering,ad,5.51344443,336480,0.12240252,,5413.34240073,1785,932,3.03268482,,16.08815502,"Compras no site",49.21220364,286,0.06162465,110,4.03525001,"Valor de conversão da compra no site",21844.19,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - SHOOTING BOFU",active,ad,3.42939967,331839,0.2782735,,13540.47424801,6193,5036,2.18641599,,40.80434864,"Compras no site",75.22485693,766,0.02906507,180,2.83914059,"Valor de conversão da compra no site",38443.31,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 4 - NOVO VM",not_delivering,ad,1.88645187,331393,0.31666631,,6918.81148071,3366,2857,2.05549955,,20.87796508,"Compras no site",60.69132878,474,0.03386809,114,3.06173106,"Valor de conversão da compra no site",21183.54,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS - ART 1",not_delivering,ad,3.14116939,318524,0.0138043,,3183.05,1477,1243,2.15507786,,9.99312454,"Compras no site",56.84017857,264,0.03791469,56,3.23261966,"Valor de conversão da compra no site",10289.59,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - JADE MOFU 3",inactive,ad,2.50351007,312398,0.10027913,,3693.80536011,1616,1504,2.28577064,,11.82403652,"Compras no site",58.63183111,170,0.03898515,63,2.98570686,"Valor de conversão da compra no site",11028.62,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD - MOFU",active,ad,1.95599068,311470,0.10024079,,5970.72374377,2063,1596,2.89419474,,19.16949865,"Compras no site",42.95484708,326,0.06737761,139,4.17300164,"Valor de conversão da compra no site",24915.84,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",existing,"AD - RMKT",inactive,ad,5.66731425,309220,0,,11617.21310939,2466,1732,4.71095422,,37.56941048,"Compras no site",57.51095599,576,0.08191403,202,3.39817989,"Valor de conversão da compra no site",39477.38,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD4,not_delivering,ad,3.6620164,305544,0,,7297.80830761,2474,1902,2.94980126,,23.88463955,"Compras no site",42.67724156,525,0.06911884,171,4.79177015,"Valor de conversão da compra no site",34969.42,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",engaged,"AD - BOFU",active,ad,4.58251858,304655,0,,9137.23793596,4660,3619,1.96078067,,29.99208264,"Compras no site",52.81640425,827,0.03712446,173,4.52800073,"Valor de conversão da compra no site",41373.42,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD- MOFU",inactive,ad,1.44328508,300987,0.20699897,,3994.48096864,2800,2385,1.42660035,,13.27127407,"Compras no site",86.8365428,316,0.01642857,46,1.8556904,"Valor de conversão da compra no site",7412.52,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",existing,AD7,inactive,ad,6.50923391,299594,0,,8233.39696923,3670,2971,2.24343242,,27.48184867,"Compras no site",55.25769778,706,0.04059946,149,3.93333762,"Valor de conversão da compra no site",32384.73,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 4",not_delivering,ad,2.01108625,298409,0.16922412,,4081.10240723,1495,1321,2.72983439,,13.67620416,"Compras no site",51.65952414,284,0.05284281,79,3.00762852,"Valor de conversão da compra no site",12274.44,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD1 - VERAO — Cópia",inactive,ad,2.69923094,297628,0.00021167,,6175.81224084,2081,1507,2.96771371,,20.75010497,"Compras no site",59.38281001,322,0.04997597,104,3.5235511,"Valor de conversão da compra no site",21760.79,2026-01-01,2026-05-25
